CMS Certification Number,Facility Name,City,State,System Affiliation,Type of Facility,Key
030123,HonorHealth Scottsdale Thompson Peak Medical Center,Scottsdale,AZ,"HonorHealth - Scotttsdale, AZ",Short Term Acute Care,030123_HonorHealth Scottsdale Thompson Peak Medical Center
03012F,Phoenix VA Health Care System,Phoenix,AZ,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,03012F_Phoenix VA Health Care System
030130,Banner Ironwood Medical Center,Queen Creek,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030130_Banner Ironwood Medical Center
030131,OASIS Hospital,Phoenix,AZ,"Not In Any System - ,",Short Term Acute Care,030131_OASIS Hospital
030134,Banner Goldfield Medical Center,Apache Junction,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030134_Banner Goldfield Medical Center
030136,Dignity Health Arizona General Hospital Laveen,Laveen,AZ,"CommonSpirit Health - Englewood, CO",Short Term Acute Care,030136_Dignity Health Arizona General Hospital Laveen
030137,Santa Cruz Valley Regional Hospital,Green Valley,AZ,"Not In Any System - ,",Short Term Acute Care,030137_Santa Cruz Valley Regional Hospital
030138,Cancer Treatment Centers of America Phoenix,Goodyear,AZ,"Cancer Treatment Centers of America - Boca Raton, FL",Short Term Acute Care,030138_Cancer Treatment Centers of America Phoenix
030139,Dignity Health Arizona General Hospital Mesa,Mesa,AZ,"CommonSpirit Health - Englewood, CO",Short Term Acute Care,030139_Dignity Health Arizona General Hospital Mesa
03013F,Southern Arizona VA Health Care System,Tucson,AZ,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,03013F_Southern Arizona VA Health Care System
030146,HonorHealth Sonoran Crossing Medical Center,Phoenix,AZ,"HonorHealth - Scotttsdale, AZ",Short Term Acute Care,030146_HonorHealth Sonoran Crossing Medical Center
030147,Banner Ocotillo Medical Center,Chandler,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030147_Banner Ocotillo Medical Center
030148,Northwest Medical Center Sahuarita,Sahuarita,AZ,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,030148_Northwest Medical Center Sahuarita
03033F,Northern Arizona VA Health Care System,Prescott,AZ,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,03033F_Northern Arizona VA Health Care System
031300,Wickenburg Community Hospital,Wickenburg,AZ,"Not In Any System - ,",Critical Access,031300_Wickenburg Community Hospital
031301,Benson Hospital,Benson,AZ,"Not In Any System - ,",Critical Access,031301_Benson Hospital
031302,Northern Cochise Community Hospital,Willcox,AZ,"Not In Any System - ,",Critical Access,031302_Northern Cochise Community Hospital
031304,Page Hospital,Page,AZ,"Banner Health - Phoenix, AZ",Critical Access,031304_Page Hospital
031305,Hopi Health Care Center,Polacca,AZ,"Indian Health Service - Rockville, MD",Critical Access,031305_Hopi Health Care Center
031307,Parker Indian Hospital,Parker,AZ,"Indian Health Service - Rockville, MD",Critical Access,031307_Parker Indian Hospital
031308,Hu Hu Kam Memorial Hospital,Sacaton,AZ,"Indian Health Service - Rockville, MD",Critical Access,031308_Hu Hu Kam Memorial Hospital
031309,Navajo Health Foundation/Sage Memorial Hospital,Ganado,AZ,"Not In Any System - ,",Critical Access,031309_Navajo Health Foundation/Sage Memorial Hospital
031311,Little Colorado Medical Center,Winslow,AZ,"Not In Any System - ,",Critical Access,031311_Little Colorado Medical Center
031312,Copper Queen Community Hospital,Bisbee,AZ,"Not In Any System - ,",Critical Access,031312_Copper Queen Community Hospital
031313,Holy Cross Hospital,Nogales,AZ,"Not In Any System - ,",Critical Access,031313_Holy Cross Hospital
031314,Cobre Valley Regional Medical Center,Globe,AZ,"Not In Any System - ,",Critical Access,031314_Cobre Valley Regional Medical Center
031315,White Mountain Regional Medical Center,Springerville,AZ,"Not In Any System - ,",Critical Access,031315_White Mountain Regional Medical Center
031317,La Paz Regional Hospital,Parker,AZ,"Not In Any System - ,",Critical Access,031317_La Paz Regional Hospital
031318,Banner Payson Medical Center,Payson,AZ,"Banner Health - Phoenix, AZ",Critical Access,031318_Banner Payson Medical Center
032000,Curahealth Phoenix Northwest,Phoenix,AZ,"Curahealth (Nautic Partners, LLC) - Providence, RI",Long Term,032000_Curahealth Phoenix Northwest
032001,Select Specialty Hospital - Phoenix,Phoenix,AZ,"Select Medical Corporation - Mechanicsburg, PA",Long Term,032001_Select Specialty Hospital - Phoenix
032002,Select Specialty Hospital - Tucson,Tucson,AZ,"Not In Any System - ,",Long Term,032002_Select Specialty Hospital - Tucson
032004,Cornerstone Specialty Hospitals Tucson,Tucson,AZ,"Cornerstone Healthcare Group - Dallas, TX",Long Term,032004_Cornerstone Specialty Hospitals Tucson
032006,KPC Promise Hospital of Phoenix,Mesa,AZ,"KPC Healthcare, Inc - Santa Ana, CA",Long Term,032006_KPC Promise Hospital of Phoenix
033025,Encompass Health Rehabilitation Hospital of Scottsdale,Scottsdale,AZ,"Encompass Health - Birmingham, AL",Rehabilitation,033025_Encompass Health Rehabilitation Hospital of Scottsdale
033028,Encompass Health Rehabilitation Institute of Tucson,Tucson,AZ,"Encompass Health - Birmingham, AL",Rehabilitation,033028_Encompass Health Rehabilitation Institute of Tucson
033029,Encompass Health Rehabilitation Hospital of Northwest Tucson,Tucson,AZ,"Encompass Health - Birmingham, AL",Rehabilitation,033029_Encompass Health Rehabilitation Hospital of Northwest Tucson
033032,Encompass Health Valley of the Sun Rehabilitation Hospital,Glendale,AZ,"Encompass Health - Birmingham, AL",Rehabilitation,033032_Encompass Health Valley of the Sun Rehabilitation Hospital
033034,"Yuma Rehabilitation Hospital, an affiliation of Encompass Health and Yuma Regional Medical Center",Yuma,AZ,"Not In Any System - ,",Rehabilitation,"033034_Yuma Rehabilitation Hospital, an affiliation of Encompass Health and Yuma Regional Medical Center"
033036,Mountain Valley Regional Rehabilitation Hospital,Prescott Valley,AZ,"Ernest Health, Inc. - Albuquerque, NM",Rehabilitation,033036_Mountain Valley Regional Rehabilitation Hospital
033037,Encompass Health Rehabilitation Hospital of East Valley,Mesa,AZ,"Encompass Health - Birmingham, AL",Rehabilitation,033037_Encompass Health Rehabilitation Hospital of East Valley
033038,HonorHealth Rehabilitation Hospital,Scottsdale,AZ,"HonorHealth - Scotttsdale, AZ",Rehabilitation,033038_HonorHealth Rehabilitation Hospital
033039,Cobalt Rehabilitation Hospital of Surprise,Surprise,AZ,"Curahealth (Nautic Partners, LLC) - Providence, RI",Rehabilitation,033039_Cobalt Rehabilitation Hospital of Surprise
033040,Dignity Health East Valley Rehabilitation Hospital,Chandler,AZ,"Not In Any System - ,",Rehabilitation,033040_Dignity Health East Valley Rehabilitation Hospital
033041,Rehabilitation Hospital of Northern Arizona,Flagstaff,AZ,"Ernest Health, Inc. - Albuquerque, NM",Rehabilitation,033041_Rehabilitation Hospital of Northern Arizona
033042,Banner Rehabilitation Hospital West,Peoria,AZ,"Banner Health - Phoenix, AZ",Rehabilitation,033042_Banner Rehabilitation Hospital West
033302,Phoenix Children's Hospital,Phoenix,AZ,"Not In Any System - ,",Childrens,033302_Phoenix Children's Hospital
034004,Banner Behavioral Health Hospital,Scottsdale,AZ,"Banner Health - Phoenix, AZ",Psychiatric,034004_Banner Behavioral Health Hospital
034013,Saint Luke's Behavioral Health Center,Phoenix,AZ,"Steward Health Care System - Boston, MA",Psychiatric,034013_Saint Luke's Behavioral Health Center
034020,Haven Behavioral Hospital of Phoenix,Phoenix,AZ,"Haven Behavioral Healthcare, Inc. - Nashville, TN",Psychiatric,034020_Haven Behavioral Hospital of Phoenix
034021,Arizona State Hospital,Phoenix,AZ,"Not In Any System - ,",Psychiatric,034021_Arizona State Hospital
034022,Sonora Behavioral Health Hospital,Tucson,AZ,"Acadia Healthcare - Franklin, TN",Psychiatric,034022_Sonora Behavioral Health Hospital
034023,The Guidance Center,Flagstaff,AZ,"Not In Any System - ,",Psychiatric,034023_The Guidance Center
034024,Aurora West Hospital,Glendale,AZ,"Signature Healthcare Services, LLC - Glendale, AZ",Psychiatric,034024_Aurora West Hospital
034025,Windhaven Psychiatric Hospital,Prescott Valley,AZ,"Not In Any System - ,",Psychiatric,034025_Windhaven Psychiatric Hospital
034026,Valley Hospital Phoenix,Phoenix,AZ,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,034026_Valley Hospital Phoenix
034027,ChangePoint Psychiatric Hospital Lakeside,Lakeside,AZ,"Not In Any System - ,",Psychiatric,034027_ChangePoint Psychiatric Hospital Lakeside
034028,Aurora East Hospital,Tempe,AZ,"Signature Healthcare Services, LLC - Glendale, AZ",Psychiatric,034028_Aurora East Hospital
034029,Oasis Behavioral Health Hospital,Chandler,AZ,"Not In Any System - ,",Psychiatric,034029_Oasis Behavioral Health Hospital
034030,Palo Verde Behavioral Health,Tucson,AZ,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,034030_Palo Verde Behavioral Health
034031,Quail Run Behavioral Health,Phoenix,AZ,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,034031_Quail Run Behavioral Health
034032,Copper Springs,Avondale,AZ,"Springstone, Inc. - Louisville, KY",Psychiatric,034032_Copper Springs
034033,Cornerstone Behavioral Health - El Dorado,Tucson,AZ,"Not In Any System - ,",Psychiatric,034033_Cornerstone Behavioral Health - El Dorado
034034,Destiny Springs Healthcare,Surprise,AZ,"Not In Any System - ,",Psychiatric,034034_Destiny Springs Healthcare
034035,Avenir Behavioral Health Center,Surprise,AZ,"Not In Any System - ,",Psychiatric,034035_Avenir Behavioral Health Center
034036,Medical Behavioral Hospital of Northern Arizona,Prescott,AZ,"Not In Any System - ,",Short Term Acute Care,034036_Medical Behavioral Hospital of Northern Arizona
034038,Phoenix Medical Psychiatric Hospital,Phoenix,AZ,"NeuroPsychiatric Hospitals - South Bend, IN",Psychiatric,034038_Phoenix Medical Psychiatric Hospital
040001,Siloam Springs Regional Hospital,Siloam Springs,AR,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,040001_Siloam Springs Regional Hospital
040002,Johnson Regional Medical Center,Clarksville,AR,"Not In Any System - ,",Short Term Acute Care,040002_Johnson Regional Medical Center
040004,Washington Regional Medical Center,Fayetteville,AR,"Not In Any System - ,",Short Term Acute Care,040004_Washington Regional Medical Center
040007,CHI St. Vincent Infirmary,Little Rock,AR,"CommonSpirit Health - Englewood, CO",Short Term Acute Care,040007_CHI St. Vincent Infirmary
040010,Mercy Hospital Northwest Arkansas,Rogers,AR,"Mercy - Chesterfield, MO",Short Term Acute Care,040010_Mercy Hospital Northwest Arkansas
040011,Chambers Memorial Hospital,Danville,AR,"Not In Any System - ,",Short Term Acute Care,040011_Chambers Memorial Hospital
040014,Unity Health- White County Medical Center,Searcy,AR,"Unity Health - Searcy, AR",Short Term Acute Care,040014_Unity Health- White County Medical Center
040015,Mena Regional Health System,Mena,AR,"Not In Any System - ,",Short Term Acute Care,040015_Mena Regional Health System
040016,University of Arkansas for Medical Sciences (UAMS) Medical Center,Little Rock,AR,"Not In Any System - ,",Short Term Acute Care,040016_University of Arkansas for Medical Sciences (UAMS) Medical Center
040017,North Arkansas Regional Medical Center,Harrison,AR,"Not In Any System - ,",Short Term Acute Care,040017_North Arkansas Regional Medical Center
040018,Baptist Health-Van Buren,Van Buren,AR,"Baptist Health - Little Rock, AR",Short Term Acute Care,040018_Baptist Health-Van Buren
040019,Forrest City Medical Center,Forrest City,AR,"Quorum Health - Brentwood, TN",Short Term Acute Care,040019_Forrest City Medical Center
040020,St. Bernards Medical Center,Jonesboro,AR,"St. Bernards Healthcare - Jonesboro, AR",Short Term Acute Care,040020_St. Bernards Medical Center
040022,Northwest Medical Center - Springdale,Springdale,AR,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,040022_Northwest Medical Center - Springdale
040026,CHI St. Vincent Hot Springs,Hot Springs,AR,"CommonSpirit Health - Englewood, CO",Short Term Acute Care,040026_CHI St. Vincent Hot Springs
040027,Baxter Regional Medical Center,Mountain Home,AR,"Not In Any System - ,",Short Term Acute Care,040027_Baxter Regional Medical Center
040029,Conway Regional Medical Center,Conway,AR,"Conway Regional Health System - Conway, AR",Short Term Acute Care,040029_Conway Regional Medical Center
040036,Baptist Health - North Little Rock,North Little Rock,AR,"Baptist Health - Little Rock, AR",Short Term Acute Care,040036_Baptist Health - North Little Rock
040039,Arkansas Methodist Medical Center,Paragould,AR,"Not In Any System - ,",Short Term Acute Care,040039_Arkansas Methodist Medical Center
040041,Saint Mary's Regional Health System,Russellville,AR,"LifePoint Health - Brentwood, TN",Short Term Acute Care,040041_Saint Mary's Regional Health System
040047,St. Bernards Five Rivers Medical Center,Pocahontas,AR,"St. Bernards Healthcare - Jonesboro, AR",Short Term Acute Care,040047_St. Bernards Five Rivers Medical Center
040050,Ouachita County Medical Center,Camden,AR,"Not In Any System - ,",Short Term Acute Care,040050_Ouachita County Medical Center
040051,Drew Memorial Hospital,Monticello,AR,"Not In Any System - ,",Short Term Acute Care,040051_Drew Memorial Hospital
040055,Baptist Health-Fort Smith,Fort Smith,AR,"Baptist Health - Little Rock, AR",Short Term Acute Care,040055_Baptist Health-Fort Smith
040062,Mercy Hospital Fort Smith,Fort Smith,AR,"Mercy - Chesterfield, MO",Short Term Acute Care,040062_Mercy Hospital Fort Smith
040067,Magnolia Regional Medical Center,Magnolia,AR,"Not In Any System - ,",Short Term Acute Care,040067_Magnolia Regional Medical Center
040069,Great River Medical Center,Blytheville,AR,"Mississippi County Hospital System - Blytheville, AK",Short Term Acute Care,040069_Great River Medical Center
040071,Jefferson Regional Medical Center,Pine Bluff,AR,"Not In Any System - ,",Short Term Acute Care,040071_Jefferson Regional Medical Center
040072,Baptist Health - Stuttgart,Stuttgart,AR,"Baptist Health - Little Rock, AR",Short Term Acute Care,040072_Baptist Health - Stuttgart
040076,Baptist Health-Hot Spring County,Malvern,AR,"Baptist Health - Little Rock, AR",Short Term Acute Care,040076_Baptist Health-Hot Spring County
040078,National Park Medical Center,Hot Springs,AR,"LifePoint Health - Brentwood, TN",Short Term Acute Care,040078_National Park Medical Center
040080,Unity Health - Harris Medical Center,Newport,AR,"Unity Health - Searcy, AR",Short Term Acute Care,040080_Unity Health - Harris Medical Center
040084,Saline Memorial Hospital,Benton,AR,"Not In Any System - ,",Short Term Acute Care,040084_Saline Memorial Hospital
040085,Helena Regional Medical Center,Helena,AR,"Quorum Health - Brentwood, TN",Short Term Acute Care,040085_Helena Regional Medical Center
040088,Medical Center of South Arkansas,El Dorado,AR,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,040088_Medical Center of South Arkansas
04009F,Veterans Health Care System of the Ozarks,Fayetteville,AR,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,04009F_Veterans Health Care System of the Ozarks
040114,Baptist Health Medical Center- Little Rock,Little Rock,AR,"Baptist Health - Little Rock, AR",Short Term Acute Care,040114_Baptist Health Medical Center- Little Rock
040118,NEA Baptist Memorial Hospital,Jonesboro,AR,"Baptist Memorial Health Care Corporation - Memphis, TN",Short Term Acute Care,040118_NEA Baptist Memorial Hospital
040119,White River Medical Center,Batesville,AR,"White River Health System - Mountain View, AR",Short Term Acute Care,040119_White River Medical Center
040132,Levi Hospital,Hot Springs National Park,AR,"Not In Any System - ,",Short Term Acute Care,040132_Levi Hospital
